형태소,품사,분류,카운트
끝,Noun,노홍철,1
끝나요,Verb,박명수,1
끝난,Verb,노홍철,1
나,Josa,정준하,2
나,Noun,길,4
나,Noun,김태호,1
나,Noun,정준하,1
나가겠습니다,Verb,박명수,1
나가고,Verb,김태호,1
나가고,Verb,박명수,1
나가기,Verb,유재석,1
나가도,Verb,길,1
나가서,Verb,장진영,1
나간,Verb,노홍철,1
나간,Verb,정형돈,1
나나,Noun,박명수,1
나는데,Verb,정준하,1
나도,Verb,길,1
나도,Verb,박명수,1
나쁘다는데,Adjective,박명수,1
나쁜,Adjective,김태호,1
나쁜,Adjective,장진영,1
나서,Verb,노홍철,1
나서겠다는,Verb,유재석,1
나아요,Verb,정형돈,1
나오겠습니다,Verb,정준하,1
나오는걸,Verb,정형돈,1
나오세요,Verb,박명수,1
나오시죠,Verb,판사,1
나오실,Verb,유재석,1
나오자마자,Verb,박명수,2
나온게,Verb,장진영,1
나와,Verb,판사,1
나와계십니다,Verb,정준하,1
나와있었습니다,Verb,김태호,1
나왔는데,Verb,길,1
나왔을,Verb,김태호,1
나이,Noun,정준하,2
나중,Noun,박명수,1
난,Noun,길,1
난다,Verb,정형돈,1
난대,Noun,박명수,1
날,Noun,김태호,1
날,Noun,노홍철,1
날,Noun,정준하,1
날,Noun,최단비,2
남성,Noun,정준하,1
남자,Noun,박명수,1
납니다,Verb,정준하,1
났습니까,Verb,정준하,2
났습니다,Verb,김태호,2
내,Noun,길,3
내,Noun,김태호,3
내,Noun,박명수,2
내,Noun,유재석,2
내,Noun,장진영,1
내고,Verb,정준하,1
내놓으셨,Verb,박명수,1
내놔,Verb,정형돈,1
내보여주시죠,Verb,정형돈,1
내용,Noun,정준하,1
내용,Noun,정형돈,2
냄새,Noun,김태호,1
냄새,Noun,박명수,1
냄새,Noun,정준하,3
냐,Josa,길,2
너,Noun,길,2
너,Noun,박명수,2
너,Noun,정준하,1
너,Noun,정형돈,1
너무,Adverb,길,1
너무,Adverb,노홍철,1
너무,Adverb,박명수,1
너무,Adverb,유재석,1
넘었는데,Verb,박명수,1
넣어주세요,Verb,박명수,1
네,Josa,길,1
네,Josa,정준하,1
네,Noun,길,1
네,Noun,김태호,4
네,Noun,노홍철,1
네,Noun,장진영,1
네,Noun,정준하,1
네,Noun,판사,1
년,Noun,길,1
노랑,Noun,길,1
노력,Noun,정형돈,1
노상,Noun,정형돈,1
노홍철,Noun,노홍철,1
노홍철,Noun,정준하,7
노홍철,Noun,정형돈,1
녹화,Noun,박명수,1
녹화,Noun,정형돈,1
놀라,Verb,박명수,2
놀라면,Verb,김태호,1
놀라요,Verb,박명수,1
놀리기,Verb,정준하,1
놀리십니까,Verb,정준하,1
놀림,Noun,정준하,1
농담,Noun,박명수,1
높아졌다,Verb,정형돈,1
뇌물,Noun,정형돈,1
누,Noun,길,1
누가,Noun,김태호,2
누가,Noun,노홍철,2
누가,Noun,장진영,1
누구,Noun,유재석,1
누군데,Adverb,길,1
누지,Noun,길,1
눈,Noun,길,3
눈,Noun,김태호,1
눈,Noun,노홍철,1
눈,Noun,유재석,1
눈,Noun,정준하,1
는,Josa,기자들,2
는,Josa,길,14
